Cluster	Cell
0	Cell1009949
0	Cell1018495
0	Cell1030424
0	Cell1102782
0	Cell1103964
0	Cell1125705
0	Cell1126928
0	Cell1129745
0	Cell1132199
0	Cell1205244
0	Cell1208921
0	Cell1232451
0	Cell1407720
0	Cell1407936
0	Cell1408037
0	Cell1409432
0	Cell1412165
0	Cell1415427
0	Cell1419035
0	Cell1420664
0	Cell1423196
0	Cell1428625
0	Cell1500998
0	Cell1514662
0	Cell1525328
0	Cell1533513
0	Cell2703498
0	Cell2706316
0	Cell2707652
0	Cell2720782
0	Cell2728083
0	Cell2730778
0	Cell2736430
0	Cell3329752
0	Cell3407839
0	Cell502843
0	Cell507008
0	Cell507018
0	Cell513042
0	Cell514096
0	Cell515176
0	Cell515459
0	Cell518672
0	Cell533965
0	Cell534526
0	Cell535382
0	Cell536311
0	Cell703287
0	Cell706246
0	Cell709433
0	Cell710756
0	Cell716942
0	Cell721376
0	Cell724834
0	Cell733279
0	Cell735988
0	Cell801294
0	Cell802466
0	Cell807879
0	Cell813054
0	Cell818517
0	Cell821384
0	Cell823354
0	Cell824324
0	Cell825167
0	Cell825843
0	Cell828924
0	Cell829559
0	Cell832327
0	Cell833713
0	Cell901349
0	Cell903333
0	Cell903816
0	Cell907883
0	Cell914654
0	Cell925996
0	Cell928025
0	Cell928107
0	Cell930259
0	Cell931125
0	Cell933594
0	Cell934015
0	Cell934054
1	Cell1021992
1	Cell1229496
1	Cell1401094
1	Cell1405056
1	Cell1405424
1	Cell1408043
1	Cell1415384
1	Cell1423573
1	Cell1427176
1	Cell1506352
1	Cell2701952
1	Cell2709845
1	Cell2719314
1	Cell2724211
1	Cell501115
1	Cell525961
1	Cell531533
1	Cell702064
1	Cell705232
1	Cell707914
1	Cell724792
1	Cell812931
1	Cell835947
1	Cell909288
1	Cell923351
1	Cell924988
