Cluster	Cell
0	Cell1002911
0	Cell1004597
0	Cell1006228
0	Cell1009208
0	Cell1011338
0	Cell1021150
0	Cell1023483
0	Cell1024024
0	Cell1114756
0	Cell1120984
0	Cell1124954
0	Cell1128336
0	Cell1129821
0	Cell1200890
0	Cell1203537
0	Cell1205290
0	Cell1206354
0	Cell1207409
0	Cell1218500
0	Cell1219877
0	Cell1228864
0	Cell1403277
0	Cell1408472
0	Cell1409161
0	Cell1409812
0	Cell1413190
0	Cell1414077
0	Cell1414527
0	Cell1414643
0	Cell1414854
0	Cell1420606
0	Cell1421301
0	Cell1423396
0	Cell1425393
0	Cell1425687
0	Cell1430497
0	Cell1432518
0	Cell1432972
0	Cell1434725
0	Cell1435270
0	Cell1436432
0	Cell1506256
0	Cell1510263
0	Cell1527598
0	Cell1532128
0	Cell1535192
0	Cell2700520
0	Cell2704789
0	Cell2704907
0	Cell2716328
0	Cell2720253
0	Cell2723279
0	Cell2727083
0	Cell2729029
0	Cell2730909
0	Cell2731521
0	Cell2733592
0	Cell2733735
0	Cell3114888
0	Cell3214593
0	Cell3219827
0	Cell3225220
0	Cell3228742
0	Cell3230353
0	Cell3235464
0	Cell3316216
0	Cell3324865
0	Cell3327940
0	Cell3334131
0	Cell3335034
0	Cell3407360
0	Cell3407594
0	Cell3410240
0	Cell3410816
0	Cell3412197
0	Cell3414115
0	Cell3422926
0	Cell3426035
0	Cell3427326
0	Cell3434162
0	Cell3434304
0	Cell3523875
0	Cell3524852
0	Cell507435
0	Cell507436
0	Cell509903
0	Cell518069
0	Cell521032
0	Cell522544
0	Cell526332
0	Cell536368
0	Cell704320
0	Cell705978
0	Cell706410
0	Cell710967
0	Cell716299
0	Cell721584
0	Cell723150
0	Cell725521
0	Cell728342
0	Cell730081
0	Cell734228
0	Cell801829
0	Cell802976
0	Cell803414
0	Cell804699
0	Cell807374
0	Cell810531
0	Cell811195
0	Cell811330
0	Cell813832
0	Cell813923
0	Cell816398
0	Cell817499
0	Cell821612
0	Cell822705
0	Cell826636
0	Cell827965
0	Cell828630
0	Cell830772
0	Cell832292
0	Cell832340
0	Cell833235
0	Cell835443
0	Cell901701
0	Cell901996
0	Cell905360
0	Cell907073
0	Cell907939
0	Cell908809
0	Cell910334
0	Cell915366
0	Cell915692
0	Cell922451
0	Cell923701
0	Cell923986
0	Cell925461
0	Cell926630
0	Cell927764
0	Cell928617
0	Cell929896
0	Cell931382
0	Cell931769
0	Cell933593
1	Cell1011104
1	Cell1122057
1	Cell1216049
1	Cell1403378
1	Cell1500392
1	Cell1522482
1	Cell3225588
1	Cell3232726
1	Cell3303891
1	Cell3418906
1	Cell3419074
1	Cell3431309
1	Cell3432104
1	Cell3520644
1	Cell3533761
1	Cell716737
1	Cell803372
1	Cell804245
1	Cell832487
1	Cell913095
1	Cell915693
1	Cell928887
2	Cell1211482
2	Cell1500819
2	Cell902372
4	Cell1207851
4	Cell1422289
4	Cell1529291
4	Cell732653
4	Cell814186
4	Cell815760
Mist5	Cell1000690
Mist5	Cell1003725
Mist5	Cell1004476
Mist5	Cell1010656
Mist5	Cell1016507
Mist5	Cell1025051
Mist5	Cell1026130
Mist5	Cell1029512
Mist5	Cell1124479
Mist5	Cell1128864
Mist5	Cell1129410
Mist5	Cell1200578
Mist5	Cell1206556
Mist5	Cell1211355
Mist5	Cell1217729
Mist5	Cell1220355
Mist5	Cell1224476
Mist5	Cell1226088
Mist5	Cell1229229
Mist5	Cell1400734
Mist5	Cell1409570
Mist5	Cell1409912
Mist5	Cell1410736
Mist5	Cell1416464
Mist5	Cell1416758
Mist5	Cell1417917
Mist5	Cell1418981
Mist5	Cell1420647
Mist5	Cell1423500
Mist5	Cell1424738
Mist5	Cell1425261
Mist5	Cell1426442
Mist5	Cell1428057
Mist5	Cell1429437
Mist5	Cell1433148
Mist5	Cell1433984
Mist5	Cell1504707
Mist5	Cell1508683
Mist5	Cell1514196
Mist5	Cell1516836
Mist5	Cell1519807
Mist5	Cell1519995
Mist5	Cell1525335
Mist5	Cell1526430
Mist5	Cell2701057
Mist5	Cell2716412
Mist5	Cell2716981
Mist5	Cell2720868
Mist5	Cell2731458
Mist5	Cell3106320
Mist5	Cell3108318
Mist5	Cell3126446
Mist5	Cell3203803
Mist5	Cell3223379
Mist5	Cell3322931
Mist5	Cell3323378
Mist5	Cell3407136
Mist5	Cell3417468
Mist5	Cell3421665
Mist5	Cell3423566
Mist5	Cell3435394
Mist5	Cell3501600
Mist5	Cell3512931
Mist5	Cell3516625
Mist5	Cell3517090
Mist5	Cell509467
Mist5	Cell512786
Mist5	Cell513163
Mist5	Cell513689
Mist5	Cell520461
Mist5	Cell521606
Mist5	Cell524314
Mist5	Cell532943
Mist5	Cell533315
Mist5	Cell702380
Mist5	Cell706383
Mist5	Cell714265
Mist5	Cell718582
Mist5	Cell721861
Mist5	Cell723156
Mist5	Cell724169
Mist5	Cell724989
Mist5	Cell727720
Mist5	Cell800145
Mist5	Cell804220
Mist5	Cell805739
Mist5	Cell807754
Mist5	Cell807760
Mist5	Cell809897
Mist5	Cell814702
Mist5	Cell815069
Mist5	Cell816864
Mist5	Cell818683
Mist5	Cell819124
Mist5	Cell819137
Mist5	Cell822939
Mist5	Cell825064
Mist5	Cell830825
Mist5	Cell831788
Mist5	Cell833179
Mist5	Cell834875
Mist5	Cell900753
Mist5	Cell903206
Mist5	Cell903591
Mist5	Cell904161
Mist5	Cell907492
Mist5	Cell908643
Mist5	Cell913490
Mist5	Cell914342
Mist5	Cell915629
Mist5	Cell919132
Mist5	Cell919711
Mist5	Cell919810
Mist5	Cell923981
Mist5	Cell925115
Mist5	Cell928319
Mist5	Cell931216
