Cluster	Cell
0	Cell1401092
0	Cell1402125
0	Cell1402636
0	Cell1402707
0	Cell1404054
0	Cell1410035
0	Cell1410815
0	Cell1416941
0	Cell1426693
0	Cell1430702
0	Cell1432856
0	Cell3304033
0	Cell3310119
0	Cell3311830
0	Cell3312018
0	Cell3320354
0	Cell3323424
0	Cell3508288
0	Cell3511826
0	Cell3512467
0	Cell3536549
0	Cell800924
0	Cell907269
0	Cell933336
1	Cell3108069
1	Cell3108084
1	Cell3123349
1	Cell3200146
1	Cell3201604
1	Cell3203305
1	Cell3207154
1	Cell3216144
1	Cell3216781
1	Cell3403305
1	Cell3407154
1	Cell3407337
1	Cell3412193
1	Cell3412971
1	Cell3420350
1	Cell3427352
1	Cell3436699
1	Cell918997
