Cluster	Cell
0	Cell1015200
0	Cell1016854
0	Cell1101228
0	Cell1104864
0	Cell1110720
0	Cell1116078
0	Cell1116384
0	Cell1127066
0	Cell1129791
0	Cell1132718
0	Cell1134390
0	Cell1203094
0	Cell1206400
0	Cell1207507
0	Cell1213769
0	Cell1220986
0	Cell1224726
0	Cell1231734
0	Cell1235100
0	Cell1407677
0	Cell1414551
0	Cell3101422
0	Cell3222981
0	Cell3317860
0	Cell3325121
0	Cell3333390
0	Cell3505850
0	Cell3506018
0	Cell3510969
0	Cell3511255
0	Cell3516864
0	Cell3519988
0	Cell3527872
0	Cell3529303
0	Cell514124
0	Cell525598
0	Cell705018
0	Cell819956
0	Cell828179
0	Cell911930
0	Cell928940
1	Cell1026518
1	Cell1230143
1	Cell3209823
1	Cell3230633
1	Cell3232863
1	Cell3335028
1	Cell709945
1	Cell721994
2	Cell1123168
2	Cell1207388
2	Cell1233990
2	Cell1407934
2	Cell1414415
2	Cell1415203
2	Cell1417753
2	Cell1428772
2	Cell2706239
2	Cell2721313
2	Cell3214636
2	Cell3401071
2	Cell801364
2	Cell817631
2	Cell825072
2	Cell831480
2	Cell834522
2	Cell900905
2	Cell905005
2	Cell920874
2	Cell927905
3	Cell1424656
3	Cell1425627
3	Cell1427709
3	Cell2716232
3	Cell2718913
3	Cell2736167
3	Cell3212380
3	Cell3231554
3	Cell3411581
3	Cell3415379
3	Cell3424442
3	Cell3431554
3	Cell727433
3	Cell733674
3	Cell802349
3	Cell804384
3	Cell820724
3	Cell833629
3	Cell911048
4	Cell1424728
4	Cell1426793
4	Cell3123782
4	Cell3201873
4	Cell3216648
4	Cell3227960
4	Cell3409669
4	Cell3428784
4	Cell523493
4	Cell529502
4	Cell717475
Mist5	Cell1219016
Mist5	Cell1406781
Mist5	Cell1408850
Mist5	Cell1424487
Mist5	Cell2711192
Mist5	Cell3236691
