Cluster	Cell
1	Cell3222836
1	Cell3224291
1	Cell3229006
1	Cell3232316
1	Cell3319506
1	Cell3323616
1	Cell3331764
1	Cell3412785
1	Cell3424204
1	Cell3424403
1	Cell3428919
1	Cell3431172
1	Cell3432316
1	Cell3432549
1	Cell3433704
1	Cell3434105
1	Cell3434644
1	Cell3504412
1	Cell3509641
1	Cell3510794
1	Cell3511137
1	Cell3511857
1	Cell3515185
1	Cell3520210
1	Cell3525788
1	Cell3533685
1	Cell3536385
1	Cell500226
1	Cell504120
1	Cell505180
1	Cell505631
1	Cell506054
1	Cell508763
1	Cell508939
1	Cell510116
1	Cell514278
1	Cell516124
1	Cell516859
1	Cell517370
1	Cell520732
1	Cell521575
1	Cell523563
1	Cell523819
1	Cell525310
1	Cell525340
1	Cell525742
1	Cell528612
1	Cell530020
1	Cell530307
1	Cell532113
1	Cell532708
1	Cell534325
1	Cell534716
1	Cell534748
1	Cell536104
1	Cell702241
1	Cell703792
1	Cell707723
1	Cell707958
1	Cell709883
1	Cell711625
1	Cell713512
1	Cell713865
1	Cell718753
1	Cell719003
1	Cell719296
1	Cell719752
1	Cell720735
1	Cell721807
1	Cell723538
1	Cell723606
1	Cell725202
1	Cell725288
1	Cell725774
1	Cell726205
1	Cell727119
1	Cell728681
1	Cell730951
1	Cell731086
1	Cell731103
1	Cell732361
1	Cell734438
1	Cell800248
1	Cell801566
1	Cell801633
1	Cell802003
1	Cell803156
1	Cell803829
1	Cell804562
1	Cell806027
1	Cell806540
1	Cell806913
1	Cell807257
1	Cell807459
1	Cell807972
1	Cell808345
1	Cell809342
1	Cell809559
1	Cell809928
1	Cell809982
1	Cell811553
1	Cell813960
1	Cell814050
1	Cell814219
1	Cell814527
1	Cell815007
1	Cell815183
1	Cell815457
1	Cell816652
1	Cell816742
1	Cell818329
1	Cell818703
1	Cell818720
1	Cell820677
1	Cell821156
1	Cell821202
1	Cell821815
1	Cell824194
1	Cell824519
1	Cell825617
1	Cell825628
1	Cell826687
1	Cell827255
1	Cell827591
1	Cell827839
1	Cell828382
1	Cell828767
1	Cell830149
1	Cell830159
1	Cell830417
1	Cell831146
1	Cell831201
1	Cell831259
1	Cell832232
1	Cell832429
1	Cell832546
1	Cell833749
1	Cell833853
1	Cell834701
1	Cell900171
1	Cell900290
1	Cell900707
1	Cell901296
1	Cell902388
1	Cell903978
1	Cell904540
1	Cell904900
1	Cell905419
1	Cell905588
1	Cell905932
1	Cell905956
1	Cell906756
1	Cell908026
1	Cell909054
1	Cell909477
1	Cell909645
1	Cell909899
1	Cell909943
1	Cell911504
1	Cell912984
1	Cell913973
1	Cell914019
1	Cell914151
1	Cell914663
1	Cell914765
1	Cell918319
1	Cell918537
1	Cell918839
1	Cell919111
1	Cell920104
1	Cell920206
1	Cell920623
1	Cell920697
1	Cell921099
1	Cell921151
1	Cell921451
1	Cell921546
1	Cell921597
1	Cell921948
1	Cell922231
1	Cell923511
1	Cell923528
1	Cell923690
1	Cell924518
1	Cell925181
1	Cell925296
1	Cell925389
1	Cell925429
1	Cell926744
1	Cell926949
1	Cell927780
1	Cell927859
1	Cell928520
1	Cell929841
1	Cell929900
1	Cell930550
1	Cell930642
1	Cell930720
1	Cell932414
1	Cell932883
1	Cell933413
1	Cell934131
1	Cell934165
1	Cell935838
1	Cell936328
1	Cell936353
Mist2	Cell1011450
Mist2	Cell1436423
Mist2	Cell1509089
Mist2	Cell3333756
Mist2	Cell714540
Mist2	Cell807546
Mist2	Cell815662
Mist2	Cell822324
Mist2	Cell925442
