Cluster	Cell
0	Cell1000487
0	Cell1002822
0	Cell1005497
0	Cell1012468
0	Cell1015930
0	Cell1022421
0	Cell1029192
0	Cell1101920
0	Cell1125088
0	Cell1128568
0	Cell1133374
0	Cell1133686
0	Cell1200122
0	Cell1201478
0	Cell1204677
0	Cell1218126
0	Cell1225517
0	Cell1234226
0	Cell1235065
0	Cell1426061
0	Cell2731747
0	Cell3313490
0	Cell3327121
0	Cell3530446
0	Cell505414
0	Cell506745
0	Cell519215
0	Cell519498
0	Cell520545
0	Cell522717
0	Cell536039
0	Cell719954
0	Cell721210
0	Cell721643
0	Cell732619
0	Cell801518
0	Cell805806
0	Cell806088
0	Cell806374
0	Cell812120
0	Cell824784
0	Cell826796
0	Cell828856
0	Cell828904
0	Cell829212
0	Cell830849
0	Cell831203
0	Cell833472
0	Cell901411
0	Cell901873
0	Cell906719
0	Cell918991
0	Cell919011
0	Cell919714
0	Cell920827
0	Cell921182
0	Cell931866
1	Cell1001449
1	Cell1002301
1	Cell1002800
1	Cell1003822
1	Cell1005320
1	Cell1006714
1	Cell1006881
1	Cell1008136
1	Cell1008593
1	Cell1009225
1	Cell1009638
1	Cell1009736
1	Cell1010117
1	Cell1011186
1	Cell1014934
1	Cell1016300
1	Cell1016311
1	Cell1021369
1	Cell1021726
1	Cell1022082
1	Cell1022648
1	Cell1023329
1	Cell1025600
1	Cell1026941
1	Cell1026968
1	Cell1100711
1	Cell1102728
1	Cell1103773
1	Cell1105224
1	Cell1106772
1	Cell1108309
1	Cell1110361
1	Cell1117649
1	Cell1119221
1	Cell1122169
1	Cell1122250
1	Cell1124798
1	Cell1124874
1	Cell1129603
1	Cell1130467
1	Cell1132585
1	Cell1133096
1	Cell1133278
1	Cell1133743
1	Cell1201046
1	Cell1202872
1	Cell1202907
1	Cell1205552
1	Cell1207821
1	Cell1208693
1	Cell1209828
1	Cell1211066
1	Cell1212273
1	Cell1213661
1	Cell1214756
1	Cell1215422
1	Cell1217169
1	Cell1218520
1	Cell1219030
1	Cell1219730
1	Cell1220924
1	Cell1226389
1	Cell1226758
1	Cell1227660
1	Cell1228715
1	Cell1229651
1	Cell1229885
1	Cell1230055
1	Cell1230208
1	Cell1230617
1	Cell1231104
1	Cell1232087
1	Cell1232128
1	Cell1232648
1	Cell1232868
1	Cell1232980
1	Cell1234225
1	Cell1401243
1	Cell1401737
1	Cell1403585
1	Cell1404206
1	Cell1405624
1	Cell1407151
1	Cell1410399
1	Cell1413869
1	Cell1418983
1	Cell1419027
1	Cell1421755
1	Cell1421831
1	Cell1422648
1	Cell1424342
1	Cell1425278
1	Cell1425858
1	Cell1426350
1	Cell1426400
1	Cell1427481
1	Cell1427755
1	Cell1429816
1	Cell1430064
1	Cell1430585
1	Cell1430738
1	Cell1431232
1	Cell1431860
1	Cell1434211
1	Cell1434395
1	Cell1434591
1	Cell1436010
1	Cell1500232
1	Cell1504393
1	Cell1505092
1	Cell1509618
1	Cell1523285
1	Cell1524761
1	Cell1527151
1	Cell1528874
1	Cell1530137
1	Cell2701222
1	Cell2702374
1	Cell2703226
1	Cell2705119
1	Cell2708679
1	Cell2714484
1	Cell2715872
1	Cell2717144
1	Cell2719708
1	Cell2719990
1	Cell2721434
1	Cell2724831
1	Cell2727347
1	Cell2731012
1	Cell2733181
1	Cell2734925
1	Cell2734943
1	Cell3117398
1	Cell3119290
1	Cell3122305
1	Cell3125434
1	Cell3126429
1	Cell3126697
1	Cell3126803
1	Cell3204221
1	Cell3204308
1	Cell3205062
1	Cell3210200
1	Cell3216576
1	Cell3217830
