Cluster	Cell
0	Cell1003336
0	Cell1007124
0	Cell1020152
0	Cell1103996
0	Cell1114390
0	Cell1116442
0	Cell1121761
0	Cell1128871
0	Cell1208803
0	Cell1216657
0	Cell1220230
0	Cell1221801
0	Cell1223875
0	Cell1224315
0	Cell1224857
0	Cell1400037
0	Cell1402378
0	Cell1407206
0	Cell1409202
0	Cell1410669
0	Cell1412040
0	Cell1413968
0	Cell1414165
0	Cell1414289
0	Cell1414425
0	Cell1416239
0	Cell1417520
0	Cell1418674
0	Cell1418826
0	Cell1421134
0	Cell1421279
0	Cell1423008
0	Cell1423658
0	Cell1424142
0	Cell1424796
0	Cell1426264
0	Cell1427627
0	Cell1428984
0	Cell1429737
0	Cell1433465
0	Cell1509661
0	Cell1511043
0	Cell1516271
0	Cell1516441
0	Cell1521603
0	Cell1523938
0	Cell2701340
0	Cell2703008
0	Cell2707819
0	Cell2712154
0	Cell2713501
0	Cell2713681
0	Cell2714678
0	Cell2718851
0	Cell2725779
0	Cell2731649
0	Cell2732582
0	Cell3317136
0	Cell3329759
0	Cell3506980
0	Cell3507514
0	Cell3512570
0	Cell3527018
0	Cell508780
0	Cell510606
0	Cell513319
0	Cell513359
0	Cell515725
0	Cell519512
0	Cell525295
0	Cell529293
0	Cell529757
0	Cell531105
0	Cell532146
0	Cell536401
0	Cell700042
0	Cell702214
0	Cell702598
0	Cell703704
0	Cell712268
0	Cell716898
0	Cell720648
0	Cell722719
0	Cell723598
0	Cell729900
0	Cell730345
0	Cell730616
0	Cell732938
0	Cell800595
0	Cell803043
0	Cell804569
0	Cell805313
0	Cell808097
0	Cell808566
0	Cell808703
0	Cell814114
0	Cell814789
0	Cell817604
0	Cell819996
0	Cell821158
0	Cell823079
0	Cell823201
0	Cell831391
0	Cell831537
0	Cell834483
0	Cell834606
0	Cell834910
0	Cell900599
0	Cell902417
0	Cell903686
0	Cell903732
0	Cell905795
0	Cell906197
0	Cell909090
0	Cell912328
0	Cell915480
0	Cell920039
0	Cell922472
0	Cell922568
0	Cell924240
0	Cell924957
0	Cell927303
0	Cell929179
0	Cell929629
0	Cell930870
1	Cell1229965
1	Cell1500562
1	Cell3301170
1	Cell3503218
1	Cell3503612
1	Cell3512021
1	Cell3512288
1	Cell3516768
1	Cell3521926
1	Cell3524865
1	Cell3528616
1	Cell3534059
1	Cell513604
1	Cell701545
1	Cell708181
1	Cell716351
1	Cell728517
1	Cell810903
1	Cell814935
1	Cell932745
Mist2	Cell715449
