Cluster	Cell
0	Cell1000211
0	Cell1001195
0	Cell1002181
0	Cell1002991
0	Cell1003007
0	Cell1003508
0	Cell1005974
0	Cell1006237
0	Cell1009387
0	Cell1011457
0	Cell1013552
0	Cell1013953
0	Cell1014478
0	Cell1015289
0	Cell1016098
0	Cell1017076
0	Cell1017771
0	Cell1018412
0	Cell1019055
0	Cell1019608
0	Cell1019651
0	Cell1020109
0	Cell1020712
0	Cell1021539
0	Cell1021586
0	Cell1021864
0	Cell1022251
0	Cell1022324
0	Cell1023261
0	Cell1023709
0	Cell1026011
0	Cell1026044
0	Cell1026562
0	Cell1028010
0	Cell1028257
0	Cell1028930
0	Cell1029214
0	Cell1029446
0	Cell1029497
0	Cell1029868
0	Cell1029956
0	Cell1030585
0	Cell1030738
0	Cell1031265
0	Cell1032213
0	Cell1036063
0	Cell1100269
0	Cell1100751
0	Cell1101460
0	Cell1101816
0	Cell1101935
0	Cell1102140
0	Cell1102651
0	Cell1102827
0	Cell1103834
0	Cell1104437
0	Cell1104913
0	Cell1105542
0	Cell1106409
0	Cell1106725
0	Cell1108101
0	Cell1108303
0	Cell1109217
0	Cell1109245
0	Cell1109442
0	Cell1109659
0	Cell1110315
0	Cell1110356
0	Cell1110807
0	Cell1111012
0	Cell1111634
0	Cell1112796
0	Cell1113848
0	Cell1113882
0	Cell1114833
0	Cell1114946
0	Cell1115495
0	Cell1116009
0	Cell1119640
0	Cell1120025
0	Cell1120493
0	Cell1120712
0	Cell1120920
0	Cell1123454
0	Cell1124893
0	Cell1124938
0	Cell1126771
0	Cell1126879
0	Cell1126921
0	Cell1127220
0	Cell1127527
0	Cell1127669
0	Cell1128418
0	Cell1129393
0	Cell1129495
0	Cell1130828
0	Cell1131014
0	Cell1131595
0	Cell1132519
0	Cell1133556
0	Cell1133582
0	Cell1133919
0	Cell1134112
0	Cell1134354
0	Cell1134402
0	Cell1134686
0	Cell1135076
0	Cell1200147
0	Cell1200381
0	Cell1200832
0	Cell1201184
0	Cell1201199
0	Cell1201607
0	Cell1201701
0	Cell1201730
0	Cell1202124
0	Cell1203072
0	Cell1203798
0	Cell1204093
0	Cell1204675
0	Cell1205362
0	Cell1206132
0	Cell1206795
0	Cell1206809
0	Cell1207008
0	Cell1207410
0	Cell1207463
0	Cell1207876
