Cluster	Cell
0	Cell1102933
0	Cell1104708
0	Cell1424668
0	Cell2702376
0	Cell533238
0	Cell726263
0	Cell800070
0	Cell800361
0	Cell801525
0	Cell801898
0	Cell804434
0	Cell806033
0	Cell810217
0	Cell817208
0	Cell821245
0	Cell917326
0	Cell928831
0	Cell930153
0	Cell932548
0	Cell932973
0	Cell936180
1	Cell1025001
1	Cell1026548
1	Cell1131284
1	Cell1214327
1	Cell1218499
1	Cell1219031
1	Cell1401250
1	Cell1402544
1	Cell1404089
1	Cell1404762
1	Cell1418974
1	Cell1425568
1	Cell1425683
1	Cell1426728
1	Cell1426798
1	Cell1429883
1	Cell1431570
1	Cell1505201
1	Cell1516714
1	Cell1518408
1	Cell1523609
1	Cell2736635
1	Cell3109662
1	Cell3132881
1	Cell3226862
1	Cell3227915
1	Cell3309378
1	Cell3322639
1	Cell3328280
1	Cell3331120
1	Cell3500900
1	Cell3510993
1	Cell3513764
1	Cell3515953
1	Cell3517199
1	Cell3527169
1	Cell502931
1	Cell506310
1	Cell514571
1	Cell516911
1	Cell519459
1	Cell531691
1	Cell701015
1	Cell708279
1	Cell725185
1	Cell732791
1	Cell816328
1	Cell824197
1	Cell825550
1	Cell827595
1	Cell831785
1	Cell901605
1	Cell909034
1	Cell910363
1	Cell920267
2	Cell1003432
2	Cell1003674
2	Cell1004608
2	Cell1008361
2	Cell1008753
2	Cell1009084
2	Cell1013383
2	Cell1017253
2	Cell1017664
2	Cell1017806
2	Cell1021146
2	Cell1023406
2	Cell1030350
2	Cell1033945
2	Cell1134515
2	Cell1204302
2	Cell1210449
2	Cell1220504
2	Cell1225060
2	Cell1226832
2	Cell1400011
2	Cell1400090
2	Cell1400138
2	Cell1400274
2	Cell1400359
2	Cell1400369
2	Cell1400477
2	Cell1400551
2	Cell1401181
2	Cell1401209
2	Cell1401414
2	Cell1401459
2	Cell1401501
2	Cell1401780
2	Cell1401870
2	Cell1402239
2	Cell1402400
2	Cell1402573
2	Cell1402653
2	Cell1402859
2	Cell1403363
2	Cell1403745
2	Cell1403766
2	Cell1403948
2	Cell1403980
2	Cell1404016
2	Cell1404124
2	Cell1404144
2	Cell1404229
2	Cell1404245
2	Cell1404451
2	Cell1404480
2	Cell1404927
2	Cell1405180
2	Cell1405870
2	Cell1405876
2	Cell1406112
2	Cell1406153
2	Cell1406669
2	Cell1406735
2	Cell1406883
2	Cell1407073
2	Cell1407100
2	Cell1407279
2	Cell1407598
2	Cell1407854
2	Cell1408076
2	Cell1408090
2	Cell1408131
2	Cell1408315
2	Cell1408898
2	Cell1409144
2	Cell1409188
2	Cell1409370
2	Cell1409662
2	Cell1410105
2	Cell1410782
2	Cell1411792
2	Cell1412251
2	Cell1412479
2	Cell1413363
2	Cell1413966
2	Cell1414486
2	Cell1414766
2	Cell1414838
2	Cell1415347
2	Cell1415443
2	Cell1415447
2	Cell1415585
2	Cell1415673
2	Cell1415706
2	Cell1416081
2	Cell1416637
2	Cell1416778
2	Cell1417029
2	Cell1417045
2	Cell1417246
2	Cell1418846
2	Cell1419731
2	Cell1419920
2	Cell1420159
2	Cell1420649
2	Cell1420713
2	Cell1420990
2	Cell1421259
2	Cell1421342
2	Cell1421518
2	Cell1421555
2	Cell1421607
2	Cell1421785
2	Cell1422061
2	Cell1422243
2	Cell1422582
2	Cell1422658
2	Cell1423344
2	Cell1423729
2	Cell1423927
2	Cell1424195
2	Cell1424203
2	Cell1424623
2	Cell1425028
2	Cell1425485
2	Cell1425510
2	Cell1425530
2	Cell1425653
2	Cell1426094
2	Cell1426179
2	Cell1426291
2	Cell1426494
2	Cell1426539
2	Cell1427211
2	Cell1427587
2	Cell1427806
2	Cell1428157
2	Cell1428218
2	Cell1428495
2	Cell1428540
2	Cell1428679
2	Cell1428912
2	Cell1429019
2	Cell1429176
2	Cell1429316
2	Cell1429493
2	Cell1429822
2	Cell1430070
2	Cell1430414
2	Cell1431028
2	Cell1431104
2	Cell1431161
2	Cell1431270
2	Cell1431496
2	Cell1431578
2	Cell1431799
2	Cell1431851
2	Cell1432027
2	Cell1432035
2	Cell1432155
2	Cell1432276
2	Cell1432408
2	Cell1432740
2	Cell1432800
2	Cell1432974
2	Cell1433095
2	Cell1433587
2	Cell1433689
2	Cell1433778
2	Cell1433817
2	Cell1434011
2	Cell1434042
2	Cell1434138
2	Cell1434338
2	Cell1434370
2	Cell1434656
2	Cell1434727
2	Cell1434862
2	Cell1434939
2	Cell1435504
2	Cell1435837
2	Cell1436109
2	Cell1501495
2	Cell1515397
2	Cell1515812
2	Cell1516243
2	Cell1518841
2	Cell1523393
2	Cell1529853
2	Cell2701336
2	Cell2709338
2	Cell2715194
2	Cell2715777
2	Cell2716493
2	Cell2723922
2	Cell2730261
2	Cell2730429
2	Cell3102402
2	Cell3107203
2	Cell3110636
2	Cell3115322
2	Cell3117279
2	Cell3118424
2	Cell3120294
2	Cell3120608
2	Cell3120672
2	Cell3125107
2	Cell3127914
2	Cell3128388
2	Cell3128866
2	Cell3131188
2	Cell3132162
2	Cell3132448
2	Cell3134010
2	Cell3134316
2	Cell3134753
2	Cell3136283
2	Cell3201078
2	Cell3202364
2	Cell3205060
2	Cell3205553
2	Cell3206452
2	Cell3206803
2	Cell3207939
2	Cell3209130
2	Cell3209907
2	Cell3211268
2	Cell3213874
2	Cell3213895
2	Cell3214477
2	Cell3214483
2	Cell3214753
2	Cell3215519
2	Cell3216369
2	Cell3216992
2	Cell3223358
2	Cell3223741
2	Cell3223924
2	Cell3224624
2	Cell3226866
2	Cell3228344
2	Cell3228362
2	Cell3228619
2	Cell3231311
2	Cell3301624
2	Cell3302641
2	Cell3306108
2	Cell3309180
2	Cell3311169
2	Cell3324098
2	Cell3332106
2	Cell3334035
2	Cell3335313
2	Cell3408132
2	Cell3408736
2	Cell3409122
2	Cell3410292
2	Cell3412422
2	Cell3414688
2	Cell3414774
2	Cell3415042
2	Cell3416880
2	Cell3417214
2	Cell3421010
2	Cell3422634
2	Cell3422803
2	Cell3428033
2	Cell3430003
2	Cell3432162
2	Cell3435277
2	Cell3436738
2	Cell3500205
2	Cell3500969
2	Cell3504337
2	Cell3509072
2	Cell3509475
2	Cell3509587
2	Cell3510044
2	Cell3518408
2	Cell3520941
2	Cell3526274
2	Cell3528513
2	Cell3532396
2	Cell501246
2	Cell501960
2	Cell505247
2	Cell510215
2	Cell511341
2	Cell514922
2	Cell516283
2	Cell522113
2	Cell523203
2	Cell523277
2	Cell523302
2	Cell523521
2	Cell523566
2	Cell528306
2	Cell529104
2	Cell531168
2	Cell531672
2	Cell532449
2	Cell703919
2	Cell713824
2	Cell800393
2	Cell801392
2	Cell801656
2	Cell801813
2	Cell801958
2	Cell802189
2	Cell802394
2	Cell803455
2	Cell803576
2	Cell804033
2	Cell804340
2	Cell805472
2	Cell805906
2	Cell807498
2	Cell807756
2	Cell808640
2	Cell809464
2	Cell809801
2	Cell811742
2	Cell813459
2	Cell814602
2	Cell814971
2	Cell815011
2	Cell815287
2	Cell815590
2	Cell817001
2	Cell818513
2	Cell818586
2	Cell819072
2	Cell819730
2	Cell819806
2	Cell820176
2	Cell820634
2	Cell821138
2	Cell822522
2	Cell823934
2	Cell825081
2	Cell827153
2	Cell827202
2	Cell827633
2	Cell827767
2	Cell828592
2	Cell828661
2	Cell828722
2	Cell829512
2	Cell829876
2	Cell832725
2	Cell832866
2	Cell833440
2	Cell834227
2	Cell836516
2	Cell900841
2	Cell900923
2	Cell900975
2	Cell904790
2	Cell905375
2	Cell905714
2	Cell906138
2	Cell906666
2	Cell907319
2	Cell907940
2	Cell908318
2	Cell908667
2	Cell908834
2	Cell909640
2	Cell910979
2	Cell911867
2	Cell912133
2	Cell914087
2	Cell914150
2	Cell914340
2	Cell914572
2	Cell916166
2	Cell916334
2	Cell918104
2	Cell918910
2	Cell919539
2	Cell921692
2	Cell921927
2	Cell923807
2	Cell924469
2	Cell924980
2	Cell925608
2	Cell926073
2	Cell926180
2	Cell930749
2	Cell932168
2	Cell934521
2	Cell934635
2	Cell934650
2	Cell934818
3	Cell1032629
3	Cell1110233
3	Cell1121832
3	Cell1403389
3	Cell1403395
3	Cell1423826
3	Cell1426748
3	Cell1430552
3	Cell1431307
3	Cell3418928
3	Cell3421817
3	Cell3500571
3	Cell3515793
3	Cell3526996
3	Cell502080
3	Cell835051
3	Cell920863
Mist4	Cell1000873
Mist4	Cell1001045
Mist4	Cell1001414
Mist4	Cell1001515
Mist4	Cell1002705
Mist4	Cell1002985
Mist4	Cell1003294
Mist4	Cell1003512
Mist4	Cell1004225
Mist4	Cell1004320
Mist4	Cell1004447
Mist4	Cell1004779
Mist4	Cell1004921
Mist4	Cell1005173
Mist4	Cell1006219
Mist4	Cell1006886
Mist4	Cell1007058
Mist4	Cell1007555
Mist4	Cell1008039
Mist4	Cell1008199
Mist4	Cell1008381
Mist4	Cell1008669
Mist4	Cell1008785
Mist4	Cell1010161
Mist4	Cell1010681
Mist4	Cell1011460
Mist4	Cell1012149
Mist4	Cell1014607
Mist4	Cell1014926
Mist4	Cell1015441
Mist4	Cell1018396
Mist4	Cell1018959
Mist4	Cell1019329
Mist4	Cell1019627
Mist4	Cell1020240
Mist4	Cell1021774
Mist4	Cell1021849
Mist4	Cell1021905
Mist4	Cell1022479
Mist4	Cell1024038
Mist4	Cell1024090
Mist4	Cell1024582
Mist4	Cell1024798
Mist4	Cell1025080
Mist4	Cell1025739
Mist4	Cell1026989
Mist4	Cell1028764
Mist4	Cell1030398
Mist4	Cell1030960
Mist4	Cell1031130
Mist4	Cell1031294
Mist4	Cell1031522
Mist4	Cell1031847
Mist4	Cell1032501
Mist4	Cell1032738
Mist4	Cell1033369
Mist4	Cell1033386
Mist4	Cell1033488
Mist4	Cell1034061
Mist4	Cell1034882
Mist4	Cell1035822
Mist4	Cell1036036
Mist4	Cell1100002
Mist4	Cell1100795
Mist4	Cell1103937
Mist4	Cell1104022
