Cluster	Cell
0	Cell1029744
0	Cell1519785
0	Cell2701070
0	Cell2706804
0	Cell2726761
0	Cell3309962
0	Cell3310434
0	Cell3315313
0	Cell3505543
0	Cell3522332
0	Cell515077
0	Cell519986
0	Cell521809
0	Cell534968
0	Cell709304
0	Cell709455
0	Cell713791
0	Cell717376
0	Cell802557
1	Cell1405200
1	Cell1406901
1	Cell1407166
1	Cell1408394
1	Cell1411051
1	Cell1428316
1	Cell1431325
1	Cell1434693
1	Cell3129120
1	Cell3412117
1	Cell3416004
1	Cell805449
1	Cell807633
1	Cell809660
1	Cell813446
1	Cell818328
1	Cell823912
1	Cell832382
1	Cell902788
1	Cell903338
1	Cell904069
1	Cell904276
1	Cell908173
1	Cell914061
1	Cell915155
1	Cell915921
1	Cell917114
1	Cell919126
1	Cell929008
1	Cell930761
1	Cell930927
1	Cell933743
