Cluster	Cell
0	Cell1000013
0	Cell1230490
0	Cell1414148
0	Cell2701088
0	Cell3218698
0	Cell532562
0	Cell802194
0	Cell823919
0	Cell831770
0	Cell832016
0	Cell925981
1	Cell1002801
1	Cell1413543
1	Cell1534047
1	Cell3512428
1	Cell532114
1	Cell727765
1	Cell802509
1	Cell809189
1	Cell812765
1	Cell821117
1	Cell829366
1	Cell832878
1	Cell906106
1	Cell919757
1	Cell924402
2	Cell1111497
2	Cell1214566
2	Cell1426279
2	Cell1533505
2	Cell3224529
2	Cell3304110
2	Cell3309983
2	Cell3536808
2	Cell500399
2	Cell501191
2	Cell511486
2	Cell730331
2	Cell810074
2	Cell819114
2	Cell909182
